	true
11659	мочь быть что под фура сидеть просто казак лихачев а очень мочь быть что это самый добрый храбрый самый чудесный самый превосходный человек на свет который никто не знать
11660	мочь быть это точно проходить гусар за вода и пойти в лощина а мочь быть он только что исчезнуть из вид и совсем исчезнуть и он не быть
11661	что бы ни увидать теперь петя ничто бы не удивить он
11662	он быть в волшебный царство в который весь быть возможно
11663	он поглядеть на небо
11664	и небо быть такой же волшебный как и земля
11665	на небо расчищать и над вершина дерево быстро бежать облако как будто открывать звезда
11666	иногда казалось что на небо расчищать и показываться чёрный чистый небо
11667	иногда казалось что этот чёрный пятно быть тучка
11668	иногда казалось что небо высоко высоко подниматься над голова иногда небо спускаться совсем так что рука можно быть достать он
11669	петя стать закрывать глаз и покачиваться
11670	капля капать
11671	идти тихий говор
11672	лошадь заржать и подраться
11673	храпеть кто то
11674	ожига жига ожига жига свистеть натачивать сабля
11675	и вдруг петя услыхать стройный хор музыка играть какой то неизвестный торжественно сладкий гимн
11676	петя быть музыкальный так же как наташа и большой николай но он никогда не учиться музыка не думать о музыка и потому мотив неожиданно приходить он в голова быть для он особенно новый и привлекательный
11677	музыка играть весь слышный и слышный
11678	напеть разрастаться переходить из один инструмент в другой
11679	происходить то что называться фуга хотя петя не иметь ни маленький понятие о тот что такой фуга
11680	каждый инструмент то похожий на скрипка то на труба но хороший и чистый чем скрипка и труба каждый инструмент играть свой и не доиграть ещё мотив сливаться с другой начинать почти то же и с три и с четыре и весь они сливаться в один и опять разбегаться и опять сливаться то в торжественно церковный то в ярко блестящий и победный
11681	ах да ведь это я в сон качнуться наперёд сказать себя петя
11682	это у я в ухо
11683	а мочь быть это мой музыка
11684	ну опять
11685	валять мой музыка
11686	ну
11687	он закрыть глаз
11688	и с разный сторона как будто издалёка затрепетать звук стать слаживаться разбегаться сливаться и опять весь соединиться в тот же сладкий и торжественный гимн
11689	ах это прелесть что такой
11690	сколько хотеть и как хотеть сказать себя петя
11691	он попробовать руководить это огромный хором инструмент
11692	ну тиша тиша замирать теперь
11693	и звук слушаться он
11694	ну теперь полный весёлый
11695	ещё ещё радостный
11696	и из неизвестный глубина подниматься усиливаться торжественный звук
11697	ну голос приставать
11698	приказать петя
11699	и сначала издалёка послышаться голос мужской потом женский
11700	голос расти расти в равномерный торжественный усилие
11701	петя страшно и радостно быть внимать они необычайный красота
11702	с торжественный победный марш сливаться песня и капля капать и вжига жига жига свистеть сабля и опять подраться и заржать лошадь не нарушать хор а входить в он
11703	петя не знать как долго это продолжаться он наслаждаться весь время удивляться свой наслаждение и жалеть что некого сообщить он
11704	он разбудить ласковый голос лихачев
11705	готовый ваш благородие надвое хранцуза распластать
11706	петя очнуться
11707	уж светать право светать
11708	вскрикнуть он
11709	невидный прежде лошадь стать видный до хвост и сквозь оголить ветка виднеться водянистый свет
11710	петя встряхнуться вскочить достать из карман целковый и дать лихачев махнуть попробовать шашка и положить она в ножны
11711	казак отвязывать лошадь и подтягивать подпруга
11712	вот и командир сказать лихачев
11713	из караулка выйти денисов и окликнуть петя приказать собираться
11714	xi быстро в полутьма разобрать лошадь подтянуть подпруга и разобраться по команда
11715	денисов стоялый у караулка отдавать последний приказание
11716	пехота партия шлёпать сотня нога пройти вперёд по дорога и быстро скрыться между дерево в предрассветный туман
11717	эсаул что то приказывать казак
11718	петя держать свой лошадь в повод с нетерпение ожидать приказание садиться
11719	обмыть холодный вода лицо он в особенность глаз гореть огонь озноб пробегать по спина и в весь тело что то быстро и равномерно дрожать
11720	ну готовый у вы весь
11721	сказать денисов
11722	давать лошадь
11723	лошадь подать
11724	денисов рассердиться на казак за то что подпруга быть слабый и разбранить он сесть
11725	петя взяться за стремить
11726	лошадь по привычка хотеть куснуть он за нога но петя не чувствовать свой тяжесть быстро вскочить в седло и оглядываться на тронуться сзади в темнота гусар подъехать к денисов
11727	василий фёдор вы я поручить что нибыть
11728	пожалуйста ради бог сказать он
11729	денисов казалось забыть про существование петя
11730	он оглянуться на он
11731	о один ты пг ош сказать он строго слушаться я и никуда не соваться
11732	в весь время переезд денисов ни слово не говорить большой с петя и ехать молча
11733	когда подъехать к опушка леса в пол заметно уже стать светлеть
11734	денисов поговорить что то шёпотом с эсаул и казак стать проезжать мимо петя и денисов
11735	когда они весь проехать денисов тронуть свой лошадь и поехать под гора
11736	садиться на зад и скользить лошадь спускаться с свой седок в лощина
11737	петя ехать ряд с денисов
11738	дрожь в весь он тело весь усиливаться
11739	становиться весь светлый и светлый только туман скрывать отдалённый предмет
11740	съехать вниз и оглянуться назад денисов кивнуть голова казак стоять подле он
11741	сигнал
11742	проговорить он
11743	казак поднять рука раздаться выстрел
11744	и в то же мгновение послышаться топот впереди поскакать лошадь крик с разный сторона и ещё выстрел
11745	в то же мгновение как раздаться один звук топот и крик петя ударить свой лошадь и выпустить повод не слушать денисов кричать на он поскакать вперёд
11746	петя показаться что вдруг совершенно как середь день ярко рассвести в тот минута как послышаться выстрел
11747	он подскакать к мост
11748	впереди по дорога скакать казак
11749	на мост он столкнуться с отстать казак и поскакать далёкий
11750	впереди какой то человек должный быть это быть француз бежать с правый сторона дорога на левый
11751	один упасть в грязь под нога петин лошадь
11752	у один изба столпиться казак что то делать
11753	из середина толпа послышаться страшный крик
11754	петя подскакать к этот толпа и первое что он увидать быть бледный с трястись нижний челюсть лицо француз держаться за древко направить на он пик
11755	ура
11756	ребята наш прокричать петя и дать повод разгорячиться лошадь поскакать вперёд по улица
11757	впереди слышный быть выстрел
11758	казак гусар и русский оборванный пленный бежать с оба сторона дорога весь громко и нескладно кричать что то
11759	молодцеватый без шапка с красный нахмурить лицо француз в синь шинель отбиваться штык от гусаров
11760	когда петя подскакать француз уже упасть
11761	опять опоздать мелькнуть в голов петя и он поскакать туда откуда слышаться частый выстрел
11762	выстрел раздаваться на двор тот барский дом на который он быть вчера ночью с долоховый
11763	француз засесть там за плетень в густой зарасти куст сад и стрелять по казак столпиться у ворота
11764	подъезжать к ворот петя в пороховой дым увидать долохов с бледный зеленоватый лицо кричать что то человек
11765	в объезд
11766	пехота подождать
11767	кричать он в то время как петя подъехать к он
11768	подождать
11769	ураааа
11770	закричать петя и не медлить ни один минута поскакать к тот место откуда слышаться выстрел и где гуща быть пороховой дым
11771	послышаться залп провизжать пустой и в что то шлёпнуть пуля
11772	казак и долох вскакать вслед за петя в ворот дом
11773	француз в колебаться густой дым один бросать оружие и выбегать из куст навстречу казак другой бежать под гора к пруд
11774	петя скакать на свой лошадь вдоль по барский двор и вместо тот чтобы держать повод странно и быстро махать оба рука и весь далёкий и далёкий сбиваться с седло на один сторона
11775	лошадь набежать на тлеть в утренний свет костёр упереться и петя тяжело упасть на мокрый земля
11776	казак видеть как быстро задёргаться он рука и нога несмотря на то что голова он не шевелиться
11777	пуля пробить он голова
11778	переговорить с старший французский офицер который выйти к он из за дом с платок на шпага и объявить что они сдаваться долох слеза с лошадь и подойти к неподвижно с раскинуть рука лежать петя
11779	готовый сказать он нахмуриться и пойти в ворот навстречу ехать к он денисов
11780	убитый
11781	вскрикнуть денисов увидать ещё издалёка то знакомый он несомненно безжизненный положение в который лежалый тело петя
11782	готовый повторить долох как будто выговаривание это слово доставлять он удовольствие и быстро пойти к пленный который окружить спешиться казак
11783	брать не быть
11784	крикнуть он денисов
11785	денисов не отвечать он подъехать к петя слеза с лошадь и дрожать рука повернуть к себя запачкать кровь и грязь уже побледнеть лицо петя
11786	я привыкнуть что нибыть сладкое
11787	отличный изюм брать весь вспомниться он
11788	и казак с удивление оглянуться на звук похожий на собачий лай с который денисов быстро отвернуться подойти к плетень и схватиться за он
11789	в число отбить денисов и долоховый русский пленный быть пьер безухов
11790	xii о тот партия пленный в который быть пьер в время всего свой движение от москва не быть от французский начальство никакой новое распоряжение
11791	партия этот 22 го октябрь находиться уже не с тот войско и обоз с который она выйти из москва
11792	половина обоз с сухарь который идти за они один переход быть отбить казак другой половина уехать вперёд пеший кавалерист который идти впереди не быть ни один большой они весь исчезнуть
11793	артиллерия который один переход виднеться впереди замениться теперь огромный обоз маршал жюный конвоировать вестфальц
11794	сзади пленный ехать обоз кавалерийский вещий
11795	от вязьма французский войско прежде идти три колонна идти теперь один куча
11796	тот признак беспорядок который заметить пьер на первое привал из москва теперь дойти до последний степень
11797	дорога по который они идти с оба сторона быть уложить мёртвый лошадь оборванный человек отсталый от разный команда беспрестанно переменяться то присоединяться то опять отставать от идти колонна
11798	несколько раз в время поход бывать фальшивый тревога и солдат конвой поднимать ружьё стрелять и бежать стремглав давить друг друг но потом опять собираться и бранить друг друг за напрасный страх
11799	этот три сборище идти вместе кавалерийский депо депо пленный и обоз жюный весь ещё составлять что то отдельный и цельный хотя и то и другой и третье быстро таять
11800	в депо в который быть сто двадцать повозка сначала теперь оставаться не большой шестьдесят остальной быть отбить или бросить
11801	из обоз жюный тоже быть оставить и отбить несколько повозка
11802	три повозка быть разграбить набежать отсталый солдат из корпус дава
11803	из разговор немец пьер слышать что к это обоз ставить караул большой чем к пленный и что один из они товарищ солдат немец быть расстрелять по приказание самый маршал за то что у солдат найти серебряный ложка принадлежать маршал
11804	большой же всего из этот три сборище растаять депо пленный
11805	из триста тридцать человек выйти из москва теперь оставаться маленький сто
11806	пленный ещё более чем седло кавалерийский депо и чем обоз жюный тяготить конвоировать солдат
11807	седло и ложка жюный они понимать что мочь для что нибыть пригодиться но для что быть голодный и холодное солдат конвой стоять на караул и стеречь такой же холодное и голодный русский который мереть и отставать дорогой который быть велено пристреливать это быть не только непонятно но и противно
11808	и конвойный как бы бояться в тот горестный положение в который они сам находиться не отдаться бывший в они чувство жалость к пленный и тем ухудшить свой положение особенно мрачно и строго обращаться с они
11809	в дорогобуж в то время как запереть пленный в конюшня конвойный солдат уйти грабить свой же магазин несколько человек пленный солдат подкопаться под стен и убежать но быть захватить француз и расстрелять
11810	прежний ввести при выход из москва порядок чтобы пленный офицер идти отдельно от солдат уже давно быть уничтожить весь тот который мочь идти идти вместе и пьер с третье переход уже соединиться опять с каратаев и лиловый кривоногий собака который избрать себя хозяин каратаев
11811	с каратаев на три день выход из москва сделаться тот лихорадка от который он лежалый в московский гошпитала и по мера тот как каратай ослабевать пьер отдаляться от он
11812	пьер не знать отчего но с тот пора как каратай стать слабеть пьер должный быть делать усилие над себя чтобы подойти к он
11813	и подходить к он и слушать тот тихий стон с который каратай обыкновенно на привал ложиться и чувствовать усилиться теперь запах который издавать от себя каратай пьер отходить от он далёкий и не думать о немой
11814	в плена в балаган пьер узнать не ум а весь существо свой жизнь что человек сотворить для счастие что счастие в немой самый в удовлетворение естественный человеческий потребность и что весь несчастие происходить не от недостаток а от излишек но теперь в этот последний три неделя поход он узнать ещё новый утешительный истина он узнать что на свет нет ничто страшный
11815	он узнать что так как нет положение в который бы человек быть счастливый и вполне свободный так и нет положение в который бы он быть несчастливый и несвободный
11816	он узнать что есть граница страдание и граница свобода и что этот граница очень близкий что тот человек который страдать оттого что в розовый постель он завернуться один листок точно так же страдать как страдать он теперь засыпать на голый сырой земля остужать один сторона и пригревать другой что когда он бывать надевать свой бальный узкий башмак он точно так же страдать как теперь когда он идти уже босой совсем обувь он давно растрепаться нога покрыть болячка
11817	он узнать что когда он как он казалось по собственный свой воля жениться на свой жена он быть не более свободный чем теперь когда он запирать на ночь в конюшня
11818	из всего тот что потом и он называть страдание но который он тогда почти не чувствовать главный быть босой стёртый заструпелый нога
11819	лошадиный мясо быть вкусно и питательный селитренный букет порох употреблять вместо соль быть даже приятный холод большой не быть и днём на ход всегда бывать жарко а ночью быть костра вошь есть тело приятно согревать
11820	один быть тяжело в первое время это нога
11821	в два день переход осмотреть у костра свой болячка пьер думать невозможный ступить на они но когда весь подняться он пойти прихрамывать и потом когда разогреться пойти без боль хотя к вечер страшный ещё быть смотреть на нога
11822	но он не смотреть на они и думать о друг
11823	теперь только пьер понять весь сила жизненность человек и спасительный сила перемещение внимание вложить в человек подобный тот спасительный клапан в паровик который выпускать лишний пара как только плотность он превышать известный норма
11824	он не видать и не слыхать как пристреливать отсталый пленный хотя более сотня из они уже погибнуть такой образ
11825	он не думать о каратаев который слабеть с каждый днём и очевидно скоро должный быть подвергнуться тот же участь
11826	ещё менее пьер думать о себя
11827	чем трудный становиться он положение чем страшный быть будущность тем независимый от тот положение в который он находиться приходить он радостный и успокоительный мысль воспоминание и представление
11828	xiii 22 го число в полдень пьер идти в гора по грязный скользкий дорога глядеть на свой нога и на неровность путь
11829	изредка он взглядывать на знакомый толпа окружающий он и опять на свой нога
11830	и то и другой быть одинаково свой и знакомый он
11831	лиловый кривоногий серый весело бежать стороной дорога изредка в доказательство свой ловкость и довольство поджимать задний лапа и прыгать на три и потом опять на весь четыре бросаться с лай на вороньев который сидеть на падать
11832	серый быть весёлый и гладкий чем в москва
11833	с весь сторона лежалый мясо различный животное от человеческий до лошадиный в различный степень разложение и волков не подпускать идти человек так что серый мочь наедаться сколько угодный
11834	дождик идти с утро и казалось что вот вот он пройти и на небо расчистить как вслед за непродолжительный остановка припускать дождик ещё сильный
11835	напитать дождь дорога уже не принимать в себя вода и ручей течь по колея
11836	пьер идти оглядываться по сторона считать шаг по три и загибать на палец
11837	обращаться к дождь он внутренно приговаривать ну ка ну ка ещё ещё наддать
11838	он казалось что он ни о чем не думать но далеко и глубоко где то что то важный и утешительный думать он душить
11839	это что то быть тонкий духовный извлечение из вчерашний он разговор с каратаев
11840	вчера на ночное привал озябнуть у потухший огонь пьер встать и перейти к ближний хороший гореть костра
11841	у костра к который он подойти сидеть платон укрыться как риза с голова шинель и рассказывать солдат свой спорый приятный но слабый болезненный голос знакомый пьер история
11842	быть уже за полночь
11843	это быть то время в который каратай обыкновенно оживать от лихорадочный припадок и бывать особенно оживлённый
11844	подойти к костра и услыхать слабый болезненный голос платон и увидать он ярко осветить огонь жалкий лицо пьер что то неприятно кольнуть в сердце
11845	он испугаться свой жалость к это человек и хотеть уйти но другой костра не быть и пьер стараться не глядеть на платон подсесть к костра
11846	что как твой здоровье
11847	спросить он
11848	что здоровье
11849	на болезнь плакаться бог смерть не дать сказать каратай и тотчас же возвратиться к начать рассказ
11850	и вот братец ты мой продолжать платон с улыбка на худо бледный лицо и с особенный радостный блеск в глаз вот братец ты мой пьер знать этот история давно каратай раз шесть он один рассказывать этот история и всегда с особенный радостный чувство
11851	но как ни хорошо знать пьер этот история он теперь прислушаться к она как к что то новый и тот тихий восторг который рассказывать видимо испытывать каратай сообщиться и пьер
11852	история этот быть о старый купец благообразный и богобоязненный жить с семья и поехать однажды с товарищ богатый купец к макарь
11853	остановиться на постоялое двор оба купец заснуть и на другой день товарищ купец быть найти зарезать и ограбить
11854	окровавленный нож найти быть под подушка старое купец
11855	купец судить наказать кнут и выдернуть ноздря как следовать по порядок говорить каратай сослать на каторга
11856	и вот братец ты мой на это место пьер застать рассказ каратаев проходить тот дело год десять или большой тот
11857	жить старичок на каторга
11858	как следовать покоряться худой не делать
11859	только у бог смерть просить
11860	хорошо
11861	и собраться они ночное дело каторжный то так же вот как мы с ты и старичок с они
11862	и зайти разговор кто за что страдать в чем бог виноватый
11863	стать сказывать тот душить загубить тот два тот поджечь тот беглый так ни за что
11864	стать старичок спрашивать ты за что мол дедушка страдать
11865	я братец мой миленький говорить за свой да за людская грех страдать
11866	а я ни душа не губить ни чужое не брать акромить что нищий братия оделять
11867	я братец мой миленький купец и богатство большой иметь
11868	так и так говорить
11869	и рассказать имя значит как весь дело быть по порядок
11870	я говорить о себя не тужить
11871	я значит бог сыскать
11872	один говорить я свой старуха и детка жаль
11873	и так то заплакать старичок
11874	случиться в они компания тот самый человек значит что купец убить
11875	где говорить дедушка быть
11876	когда в какой месяц
11877	весь расспросить
11878	заболеть у он сердце
11879	подходить такой манер к старичок хлоп в нога
11880	за я ты говорить старичок пропадать
11881	правда истинный безвинно напрасно говорить ребятушки человек этот мучиться
11882	я говорить то самый дело сделать и нож ты под голова сонный подложить
11883	простить говорить дедушка я ты ради христос
11884	каратай замолчать радостно улыбаться глядеть на огонь и поправить полено
11885	старичок и говорить бог мол ты простить а мы весь говорить бог грешный я за свой грех страдать
11886	сам заплакать горючьмить слезьмить
11887	что же думать соколик весь светлый и светлый сиять восторженный улыбка говорить каратай как будто в тот что он иметь теперь рассказать заключаться главный прелесть и весь значение рассказ что же думать соколик объявиться этот убийца самый по начальство
11888	я говорить шесть душа загубить большой злодей быть но всего я жальча старичок это
11889	пускай же он на я не плакаться
11890	объявиться списать послать бумага как следовать
11891	место дальний пока суд да дело пока весь бумага списать как должный по начальство значит
11892	до царь доходить
11893	пока что прийти царский указ выпустить купец дать он награждение сколько там присудить
11894	пришлый бумага стать старичок разыскивать
11895	где такой старичок безвинно напрасно страдать
11896	от царь бумага выйти
11897	стать искать
11898	нижний челюсть каратаев дрогнуть
11899	а он уж бог простить помереть
11900	так то соколик закончить каратай и долго молча улыбаться смотреть перед себя
11901	не самый рассказ этот но таинственный смысл он тот восторженный радость который сиять в лицо каратаев при это рассказ таинственный значение этот радость это то смутно и радостно наполнять теперь душить пьер
11902	xiv a vos places
11903	402 по место
11904	вдруг закричать голос
11905	между пленный и конвойный произойти радостный смятение и ожидание что то счастливый и торжественный
11906	с весь сторона послышаться крик команда и с левый сторона рысью объезжать пленный показаться кавалерист хорошо одетый на хороший лошадь
11907	на весь лицо быть выражение напряжённость который бывать у человек при близость высокий власть
11908	пленный сбиться в куча они столкнуть с дорога конвойный построиться
11909	l empereur
11910	l empereur
11911	le mar 233 chal
11912	le duc
11913	403 император
11914	император
11915	маршал
11916	герцог
11917	и только что проехать сытый конвойный как прогреметь карета цугом на серый лошадь
11918	пьер мельком увидать спокойный красивый толстый и белый лицо человек в треугольный шляпа
11919	это быть один из маршал
11920	взгляд маршал обратиться на крупный заметный фигура пьер и в тот выражение с который маршал этот нахмуриться и отвернуть лицо пьер показаться сострадание и желание скрыть он
11921	генерал который вести депо с красный испуганный лицо погонять свой худой лошадь скакать за карета
11922	несколько офицер сойтись вместе солдат окружить они
11923	у весь быть взволнованно напрячь лицо
11924	qu est ce qu il a dit
11925	qu est ce qu il a dit
11926	404 что он сказать
11927	что
11928	что
11929	слышать пьер
11930	в время проезд маршал пленный сбиться в куча и пьер увидать каратаев который он не видать ещё в нынешний утро
11931	каратай в свой шинелька сидеть прислониться к берёза
11932	в лицо он кроме выражение вчерашний радостный умиление при рассказ о безвинный страдание купец светиться ещё выражение тихий торжественность
11933	каратай смотреть на пьер свой добрый круглый глаз подёрнуть теперь слеза и видимо подзывать он к себя хотеть сказать что то
11934	но пьер слишком страшно быть за себя
11935	он сделать так как будто не видать он взгляд и поспешно отойти
11936	когда пленный опять тронуться пьер оглянуться назад
11937	каратай сидеть на край дорога у берёза и два француз что то говорить над он
11938	пьер не оглядываться большой
11939	он идти прихрамывать в гора
11940	сзади с тот место где сидеть каратай послышаться выстрел
11941	пьер слышать явственно этот выстрел но в то же мгновение как он услыхать он пьер вспомнить что он не кончить ещё начать перед проездом маршал вычисление о тот сколько переход оставаться до смоленск
11942	и он стать считать
11943	два французский солдат из который один держать в рука снятой дымиться ружьё пробежать мимо пьер
11944	они оба быть бледный и в выражение они лицо один из они робко взглянуть на пьер быть что то похожий на то что он видеть в молодой солдат на казнь
11945	пьер посмотреть на солдат и вспомнить о тот как этот солдат третье день сжечь высушивать на костра свой рубаха и как смеяться над он
11946	собака завыть сзади с тот место где сидеть каратай
11947	экий дура о чем она выть
11948	подумать пьер
11949	солдат товарищ идти ряд с пьер не оглядываться так же как и он на то место с который послышаться выстрел и потом вой собака но строгий выражение лежалый на весь лицо
11950	xv депо и пленный и обоз маршал остановиться в деревня шамшева
11951	весь сбиться в куча у костёр
11952	пьер подойти к костра поесть жареный лошадиный мясо лечь спина к огонь и тотчас же заснуть
11953	он спасть опять тем же сон какой он спасть в можайск после бородин
11954	опять событие действительность соединяться с сновидение и опять кто то сам ли он или кто другой говорить он мысль и даже тот же мысль который он говориться в можайск
11955	жизнь есть весь
11956	жизнь есть бог
11957	весь перемещаться и двигаться и это движение есть бог
11958	и пока есть жизнь есть наслаждение самосознание божество
11959	любить жизнь любить бог
11960	трудный и блаженный всего любить этот жизнь в свой страдание в безвинность страдание
11961	каратай
11962	вспомниться пьер
11963	и вдруг пьер представиться как живой давно забытый кроткий старичок учитель который в швейцария преподавать пьер география
11964	постоять сказать старичок
11965	и он показать пьер глобус
11966	глобус этот быть живой колебаться шар не иметь размер
